Episode no = 1830; won: True; Q(s,a) = 436.32184580989315; reward = 94.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:13:37
Episode no = 1840; won: True; Q(s,a) = 359.60109197229247; reward = 90.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:13:37
Episode no = 1850; won: True; Q(s,a) = 349.8089983606059; reward = 94.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:13:38
Episode no = 1860; won: True; Q(s,a) = 392.68477785389086; reward = 95.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:13:38
Episode no = 1870; won: True; Q(s,a) = 395.210059440867; reward = 95.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:13:39
Episode no = 1880; won: True; Q(s,a) = 393.6710158007435; reward = 93.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:13:39
Episode no = 1890; won: True; Q(s,a) = 392.97688275831194; reward = 95.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:13:40
Episode no = 1900; won: True; Q(s,a) = 354.9189130285381; reward = 94.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:13:40
Episode no = 1910; won: True; Q(s,a) = 439.47761481012583; reward = 94.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:13:40
Episode no = 1920; won: True; Q(s,a) = 391.96065627303295; reward = 95.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:13:41
Episode no = 1930; won: True; Q(s,a) = 441.04815545295173; reward = 94.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:13:41
